RSI,EMA20,EMA50,MACD,Signal,volume,Target
61.620573572305375,63767.016787108376,63468.89142727615,145.49531803297575,111.71964437807652,499.73169,1
64.06740670785018,63810.25042643139,63498.384704637865,163.96503676228167,122.16872285491756,206.46033,1
65.56992421385256,63856.526576295066,63529.66961818148,182.56433164407645,134.24784461274933,584.92205,0
56.52988756214451,63872.9688071241,63549.25786844887,173.7583737122186,142.14995043264318,720.7481,0
54.764071731922485,63882.32320644562,63565.80422654891,160.25378133013874,145.7707166121423,301.75645,1
59.261358838176875,63908.907662974605,63589.16327648817,163.02523993300565,149.22162127631498,278.72154,1
62.1401621804781,63945.82979031036,63616.90550093962,174.11837428074796,154.2009718772016,308.7181,0
61.50696516942041,63977.49457218556,63642.84293227532,179.36708780925983,159.23419506361324,179.3189,1
65.49868404323357,64024.49889864408,63675.321248656684,196.8097313109756,166.74930231308574,552.39519,0
64.9503387387083,64065.63900353512,63705.95453302309,207.0704949512292,174.81354084071444,316.2712,1
64.98370730680102,64103.00766986511,63735.44690427709,212.87262606593868,182.4253578857593,589.21574,1
67.3120584032336,64147.00693940176,63767.97839822701,223.52737122913825,190.6457605544351,595.05205,0
67.22207514559908,64186.6253261254,63799.1557159436,229.1682414142197,198.350256726392,821.19702,0
63.866551096583166,64215.51910458965,63826.248040808554,225.153558608632,203.71091710284003,260.23317,1
65.28036266363604,64246.926808914446,63854.44615685528,223.85289762296452,207.73931320686495,155.67419,0
56.413762668160174,64255.70235092259,63873.451013449194,203.83143505443877,206.9577375763797,253.74802,0
56.370982077334304,64263.5402222633,63891.66862076491,185.7368825001322,202.71356656113025,429.46847,0
54.22308152508346,64265.688772523936,63907.13651798982,165.30340819119738,195.23153488714365,839.75348,1
58.88140886094404,64281.279365616894,63927.617046696105,158.84101768487017,187.95343144668897,256.82492,1
59.71150966506469,64297.95085460576,63948.35088800214,154.11679700116656,181.18610455758449,192.66954,1
64.3103217007838,64328.24124940521,63974.533206119704,161.3963757019592,177.22815878645943,237.3813,0
59.932882811050625,64346.61160660472,63995.96837450717,157.69249718318315,173.32102646580418,184.13016,1
60.68831013768534,64365.60097740427,64017.53824217355,154.97746418775205,169.65231401019378,228.11339,0
51.5022101552038,64361.975170032434,64029.69478169616,133.6563703686843,162.4531252818919,334.09454,0
51.138200574100246,64357.78610621982,64041.00047653161,114.66763452332816,152.89602713017916,308.61157,0
40.366924955012415,64322.14457229412,64038.74751666763,71.80469180091313,136.67776006432595,781.47067,1
42.000246379687376,64293.85175588516,64038.21114346498,40.71646383548068,117.4855008185569,366.74561,0
39.67652828484298,64260.40206484848,64034.4628633291,9.31917453110509,95.85223556106656,256.58722,0
34.44840276478526,64210.13901105339,64022.62667261031,-32.137381756154355,70.25431209762237,617.57994,1
37.83676798695455,64172.34481952449,64014.417783488345,-57.81693575037207,44.64006252802349,258.88821,0
37.54398073407453,64137.07388433169,64006.08767433194,-78.17878647803445,20.076292726811904,107.594,1
45.80309132798019,64124.842085823904,64006.18776553461,-76.75677452416858,0.7096792766158077,243.2036,1
71.44465274492718,64237.865696697816,64057.38001002345,29.17108982172067,6.40196138563678,2955.01268,1
72.67547213661179,64351.09563034564,64111.08197041469,121.01951812893822,29.32547273429707,1554.15469,1
75.79369512590816,64483.986522693674,64175.214050006274,217.10213839095377,66.88080586562842,964.84531,0
72.43900330484954,64592.74875862761,64232.10722451584,280.2971014065988,109.56406497382252,1043.52596,0
69.65547892971604,64681.534591139265,64282.8089019858,318.5583732689265,151.3629266328433,855.38843,0
68.17518112967404,64756.81796341172,64329.44423916283,340.6777358588515,189.22588847804496,587.73145,1
73.40293952615772,64868.273395467746,64392.097406254485,390.42882921723503,229.466476625883,767.65798,0
66.1262268111777,64942.153072089866,64441.19201777392,402.37559661520936,264.0483006237483,564.25779,1
68.6558304281524,65029.37754141464,64496.75350727298,424.2213477490586,296.08291004881033,477.26671,0
67.48915082901738,65103.913966041815,64548.33219326228,432.8330177513708,323.43293158932244,365.24859,0
63.99486435670514,65158.28025499021,64592.505832742194,423.69876470189047,343.48609821183607,574.31747,0
63.66509639555162,65206.254516419714,64634.44717263466,410.6967286693689,356.92822430334263,363.0048,0
61.909559470371974,65243.45503866546,64672.18885213919,390.6324927046371,363.66907798360154,344.30264,1
66.76487766585717,65307.637415935416,64721.019485388635,396.0287466615555,370.1410117191923,544.78922,1
70.7326205107354,65395.85290013204,64780.34813302045,420.99368925843737,380.3115472270414,1293.72734,1
74.18811208295212,65507.0564334528,64850.275265058866,462.0475481106041,396.6587474037539,987.26981,0
70.99885029695362,65596.57963026682,64912.893882115386,479.6580922470821,413.2586163724196,1919.26303,1
72.57450365570921,65691.33871309855,64978.723533797136,499.51640355347627,430.51017380863095,940.8464,1
78.63522762486456,65843.79597851774,65069.44574815803,565.2699363028805,457.4621263074809,1466.9579,0
75.2079809426007,65968.957313897,65151.3494443087,599.6429897526832,485.89829899652136,1096.95936,0
67.93033133527464,66053.03661733538,65218.033387669144,595.3136955637456,507.7813783099662,1340.24388,0
66.00583191138651,66120.94932044629,65278.74266658408,578.3035226742359,521.8858071828201,590.69175,0
62.62115679050636,66167.93986135616,65331.11942475726,546.2791020608274,526.7644661584217,780.39583,0
60.54229200469357,66201.46749360795,65377.74140810011,507.4352499897941,522.8986229246962,339.47285,0
57.24935032106341,66217.34201802625,65416.58096072364,459.107499791804,510.14039829811776,347.81382,0
53.88555187544986,66216.29420678565,65447.551903440355,403.1039633142791,488.7331113013501,520.15584,1
